"","team","three_pt_Made_mean","three_pt_Percentage_mean","opp_three_pt_Made_mean","opp_three_pt_Percentage_mean","Percent_of_Points_mean","opp_Percent_of_Points_mean","win_team_mean","win_team_sum","diff_tpm","diff_tpp","diff_pop"
"1","atl",8.89024390243902,34.1463414634146,10.890243902439,35.6170731707317,0.258504909449772,0.310819309536268,0.524390243902439,43,-2,-1.47073170731707,-0.0523144000864958
"2","bos",12.0121951219512,35.8743902439024,8.96341463414634,33.4573170731707,0.333528819394863,0.254904895662582,0.646341463414634,53,3.04878048780488,2.41707317073171,0.0786239237322808
"3","bro",10.6951219512195,33.7451219512195,9.95121951219512,36.7134146341463,0.301406157132241,0.263346083111709,0.24390243902439,20,0.74390243902439,-2.96829268292683,0.0380600740205315
"4","cha",10.0487804878049,34.8365853658537,11.5853658536585,36.4560975609756,0.284753674584203,0.330961960051022,0.439024390243902,36,-1.53658536585366,-1.61951219512195,-0.046208285466819
"5","chi",7.59756097560976,33.440243902439,8.91463414634146,34.6292682926829,0.2198542602161,0.259620699771392,0.5,41,-1.31707317073171,-1.18902439024391,-0.0397664395552926
"6","cle",13.0121951219512,38.2207317073171,10.3658536585366,35.6243902439024,0.34915771249616,0.288269228220921,0.621951219512195,51,2.64634146341463,2.59634146341463,0.060888484275239
"7","dal",10.7073170731707,35.5451219512195,9.60975609756098,37.5195121951219,0.325194364603785,0.281500542099183,0.402439024390244,33,1.09756097560976,-1.97439024390243,0.0436938225046022
"8","den",10.609756097561,36.830487804878,9.85365853658537,37.2463414634146,0.284100171189305,0.263671260385149,0.48780487804878,40,0.75609756097561,-0.415853658536591,0.0204289108041565
"9","det",7.69512195121951,32.6756097560976,9.35365853658537,36.4707317073171,0.224672080268752,0.271607533359076,0.451219512195122,37,-1.65853658536585,-3.79512195121951,-0.0469354530903244
"10","gsw",11.9756097560976,38.5951219512195,8.98780487804878,32.1048780487805,0.307503052263668,0.257597673849844,0.817073170731707,67,2.98780487804878,6.49024390243903,0.0499053784138237
"11","hou",14.4024390243902,35.6219512195122,10,34.5548780487805,0.371781873009191,0.273049113829558,0.670731707317073,55,4.40243902439024,1.06707317073171,0.0987327591796326
"12","ind",8.65853658536585,37.1646341463415,10.3536585365854,35.4621951219512,0.246593472515829,0.291644254137631,0.51219512195122,42,-1.69512195121951,1.70243902439024,-0.0450507816218018
"13","lac",10.2560975609756,37.3658536585366,9.18292682926829,35.0536585365854,0.28209712773642,0.260660205280023,0.621951219512195,51,1.07317073170732,2.31219512195122,0.0214369224563968
"14","lal",8.90243902439024,34.3024390243902,10.1341463414634,36.7975609756098,0.25219412900588,0.270795495551102,0.317073170731707,26,-1.23170731707317,-2.49512195121951,-0.0186013665452225
"15","mem",9.35365853658537,35.0914634146341,9.91463414634146,35.1365853658537,0.27532279938184,0.295141353473361,0.524390243902439,43,-0.560975609756097,-0.0451219512195067,-0.0198185540915211
"16","mia",9.85365853658537,36.1024390243902,7.79268292682927,34.1426829268293,0.284015107630119,0.227639371065214,0.5,41,2.0609756097561,1.95975609756098,0.0563757365649046
"17","mil",8.78048780487805,37.2207317073171,9.95121951219512,35.3695121951219,0.253924385324798,0.283924312778593,0.51219512195122,42,-1.17073170731707,1.85121951219512,-0.0299999274537951
"18","min",7.32926829268293,34.6365853658537,9.89024390243902,36.6865853658537,0.207035144909049,0.274265388230739,0.378048780487805,31,-2.5609756097561,-2.05,-0.0672302433216904
"19","nop",9.36585365853658,34.6634146341463,10.5243902439024,35.1719512195122,0.267700456292988,0.293356402181797,0.414634146341463,34,-1.15853658536585,-0.508536585365853,-0.0256559458888093
"20","nyk",8.58536585365854,34.9317073170732,9.82926829268293,34.7475609756098,0.246023724282875,0.269753094173122,0.378048780487805,31,-1.24390243902439,0.184146341463411,-0.0237293698902468
"21","okl",8.4390243902439,32.6439024390244,8.82926829268293,35.4134146341463,0.235661083856846,0.247135728112362,0.573170731707317,47,-0.390243902439025,-2.76951219512195,-0.0114746442555156
"22","orl",8.54878048780488,32.8707317073171,9.68292682926829,36.9158536585366,0.251739680033611,0.268698065559417,0.353658536585366,29,-1.13414634146342,-4.04512195121951,-0.0169583855258056
"23","phi",10.1341463414634,34.0036585365854,8.89024390243902,35.5475609756098,0.296382482818748,0.24519696067987,0.341463414634146,28,1.24390243902439,-1.54390243902439,0.0511855221388788
"24","phx",7.5,33.330487804878,10.0609756097561,37.8682926829268,0.208626488075961,0.263813218213738,0.292682926829268,24,-2.5609756097561,-4.53780487804878,-0.0551867301377774
"25","por",10.390243902439,37.4585365853659,9.29268292682927,36.8341463414634,0.288628687919632,0.255486577117401,0.5,41,1.09756097560976,0.62439024390244,0.0331421108022307
"26","sac",8.98780487804878,38.0829268292683,10.9268292682927,35.9939024390244,0.26161646527924,0.305876433306929,0.390243902439024,32,-1.9390243902439,2.08902439024391,-0.0442599680276897
"27","sas",9.18292682926829,39.4158536585366,8.14634146341463,35.0439024390244,0.261026759375726,0.246387243588132,0.74390243902439,61,1.03658536585366,4.37195121951219,0.014639515787594
"28","tor",8.84146341463415,36.490243902439,9.68292682926829,35.2329268292683,0.246729590024332,0.281730573473514,0.621951219512195,51,-0.841463414634147,1.25731707317073,-0.0350009834491823
"29","uta",9.64634146341463,37.1451219512195,8.18292682926829,35.9158536585366,0.285543478333671,0.252420070209111,0.621951219512195,51,1.46341463414634,1.22926829268293,0.0331234081245602
"30","was",9.21951219512195,37.3658536585366,9.87804878048781,36.090243902439,0.251464191690755,0.273509282087597,0.597560975609756,49,-0.658536585365855,1.27560975609756,-0.022045090396842
