"","team","game.id","three_pt_Attempts","three_pt_Made","three_pt_Percentage","win","total_pts.points"
"2231","tor",34194,19,13,68.4,1,122
"2232","tor",34208,32,16,50,1,120
"2233","tor",34224,29,12,41.4,1,113
"2234","tor",34233,24,13,54.2,1,128
"2235","tor",34245,32,13,40.6,0,112
"2236","tor",34271,27,12,44.4,1,124
"2237","tor",34279,20,9,45,1,101
"2238","tor",34302,25,14,56,1,122
"2239","tor",34314,29,10,34.5,1,123
"2240","tor",34332,21,10,47.6,0,121
"2241","tor",34349,27,7,25.9,1,109
"2242","tor",34360,18,8,44.4,1,116
"2243","tor",34392,21,8,38.1,1,104
"2244","tor",34409,34,12,35.3,1,95
"2245","tor",34425,35,13,37.1,0,111
"2246","tor",34430,27,7,25.9,0,91
"2247","tor",34452,17,10,58.8,1,123
"2248","tor",34465,18,4,22.2,0,82
"2249","tor",34477,21,8,38.1,1,101
"2250","tor",34494,31,8,25.8,0,118
"2251","tor",34503,25,11,44,0,122
"2252","tor",34512,22,10,45.4,1,114
"2253","tor",34533,28,11,39.3,1,132
"2254","tor",34546,22,8,36.4,1,116
"2255","tor",34562,19,10,52.6,1,119
"2256","tor",34567,24,6,25,0,89
"2257","tor",34582,30,7,23.3,0,78
"2258","tor",34603,27,7,25.9,0,103
"2259","tor",34614,25,6,24,0,106
"2260","tor",34625,34,10,29.4,0,99
"2261","tor",34638,25,10,40,1,102
"2262","tor",34655,28,12,42.9,0,113
"2263","tor",34665,31,10,32.3,1,108
"2264","tor",34672,31,8,25.8,0,104
"2265","tor",34686,28,10,35.7,0,94
"2266","tor",34705,19,5,26.3,1,103
"2267","tor",34711,24,10,41.7,1,118
"2268","tor",34730,28,11,39.3,0,109
"2269","tor",34758,16,8,50,0,101
"2270","tor",34771,20,5,25,0,94
"2271","tor",34777,32,12,37.5,1,90
"2272","tor",34798,15,5,33.3,1,107
"2273","tor",34818,20,7,35,1,112
"2274","tor",34822,26,7,26.9,1,92
"2275","tor",34836,20,7,35,0,96
"2276","tor",34850,25,11,44,1,114
"2277","tor",34860,21,7,33.3,0,94
"2278","tor",34893,21,8,38.1,1,94
"2279","tor",34909,25,4,16,0,99
"2280","tor",34919,15,2,13.3,0,89
"2281","tor",34932,25,9,36,1,100
"2282","tor",34955,20,5,25,0,102
"2283","tor",34963,27,9,33.3,1,87
"2284","tor",34980,27,12,44.4,1,116
"2285","tor",34991,23,8,34.8,1,122
"2286","tor",35008,23,6,26.1,1,101
"2287","tor",35024,21,9,42.9,1,94
"2288","tor",35037,15,10,66.7,1,131
"2289","tor",35054,31,11,35.5,0,106
"2290","tor",35066,27,14,51.8,1,111
"2291","tor",35088,19,6,31.6,1,113
"2292","tor",35097,23,5,21.7,0,90
"2293","tor",35106,30,10,33.3,1,105
"2294","tor",35120,20,9,45,1,96
"2295","tor",35136,31,10,32.3,1,110
"2296","tor",35158,26,8,30.8,1,98
"2297","uta",33942,24,8,33.3,0,104
"2298","uta",33964,25,6,24,1,96
"2299","uta",33975,19,7,36.8,0,75
"2300","uta",33993,31,15,48.4,1,106
"2301","uta",34002,25,12,48,1,97
"2302","uta",34017,26,11,42.3,0,86
"2303","uta",34027,25,8,32,1,114
"2304","uta",34033,19,11,57.9,1,109
"2305","uta",34048,34,8,23.5,0,98
"2306","uta",34064,28,7,25,1,87
"2307","uta",34076,20,6,30,1,102
"2308","uta",34091,28,8,28.6,0,96
"2309","uta",34113,25,5,20,0,77
"2310","uta",34124,27,12,44.4,0,102
"2311","uta",34137,26,7,26.9,0,91
"2312","uta",34161,26,8,30.8,1,108
"2313","uta",34171,34,10,29.4,1,95
"2314","uta",34198,18,4,22.2,1,112
"2315","uta",34205,28,15,53.6,1,120
"2316","uta",34220,30,17,56.7,0,110
"2317","uta",34237,25,9,36,1,105
"2318","uta",34253,32,13,40.6,1,107
"2319","uta",34260,27,12,44.4,1,112
"2320","uta",34275,38,10,26.3,0,99
"2321","uta",34294,29,13,44.8,1,104
"2322","uta",34322,23,13,56.5,1,109
"2323","uta",34338,22,8,36.4,1,103
"2324","uta",34347,27,8,29.6,1,82
"2325","uta",34367,30,9,30,0,74
"2326","uta",34374,27,9,33.3,0,93
"2327","uta",34392,27,10,37,0,98
"2328","uta",34415,26,9,34.6,1,102
"2329","uta",34429,26,15,57.7,1,100
