"","team","game.id","three_pt_Attempts","three_pt_Made","three_pt_Percentage","total_pts.points","opp_three_pt_Attempts","opp_three_pt_Made","opp_three_pt_Percentage","win_team","diff_tpa","diff_tpm","diff_tpp","Percent_of_Points","opp_Percent_of_Points","diff_pop"
"44","bos",34616,33,10,30.3,108,20,9,45,0,13,1,-14.7,0.277777777777778,0.219512195121951,0.0582655826558266
"45","bos",34621,32,11,34.4,120,31,10,32.3,1,1,1,2.1,0.275,0.275229357798165,-0.000229357798165131
"46","bos",34637,34,16,47.1,128,25,9,36,1,9,7,11.1,0.375,0.275510204081633,0.0994897959183674
"47","bos",34646,40,14,35,112,21,9,42.9,1,19,5,-7.9,0.375,0.25,0.125
"48","bos",34661,32,13,40.6,113,27,3,11.1,1,5,10,29.5,0.345132743362832,0.0825688073394495,0.262563936023382
"49","bos",34672,36,12,33.3,109,31,8,25.8,1,5,4,7.5,0.330275229357798,0.230769230769231,0.0995059985885674
"50","bos",34691,35,13,37.1,113,38,14,36.8,1,-3,-1,0.300000000000004,0.345132743362832,0.392523364485981,-0.0473906211231495
"51","bos",34706,52,16,30.8,107,29,10,34.5,1,23,6,-3.7,0.448598130841121,0.294117647058824,0.154480483782298
"52","bos",34733,32,10,31.2,92,25,10,40,0,7,0,-8.8,0.326086956521739,0.277777777777778,0.0483091787439613
"53","bos",34738,30,10,33.3,120,26,9,34.6,1,4,1,-1.3,0.25,0.243243243243243,0.00675675675675674
"54","bos",34755,30,13,43.3,112,31,8,25.8,1,-1,5,17.5,0.348214285714286,0.230769230769231,0.117445054945055
"55","bos",34766,34,16,47.1,111,27,9,33.3,1,7,7,13.8,0.432432432432432,0.275510204081633,0.1569222283508
"56","bos",34776,28,13,46.4,116,31,8,25.8,1,-3,5,20.6,0.336206896551724,0.222222222222222,0.113984674329502
"57","bos",34789,37,14,37.8,103,25,6,24,0,12,8,13.8,0.407766990291262,0.173076923076923,0.234690067214339
"58","bos",34798,38,12,31.6,97,15,5,33.3,0,23,7,-1.7,0.371134020618557,0.14018691588785,0.230947104730706
"59","bos",34819,35,12,34.3,104,33,12,36.4,1,2,0,-2.1,0.346153846153846,0.36734693877551,-0.0211930926216641
"60","bos",34825,34,10,29.4,98,25,6,24,0,9,4,5.4,0.306122448979592,0.157894736842105,0.148227712137487
"61","bos",34839,31,13,41.9,103,33,10,30.3,1,-2,3,11.6,0.378640776699029,0.303030303030303,0.0756104736687261
"62","bos",34858,33,10,30.3,115,24,6,25,1,9,4,5.3,0.260869565217391,0.189473684210526,0.071395881006865
"63","bos",34869,37,13,35.1,106,20,4,20,0,17,9,15.1,0.367924528301887,0.110091743119266,0.257832785182621
"64","bos",34885,35,10,28.6,102,20,9,45,0,15,1,-16.4,0.294117647058824,0.232758620689655,0.0613590263691684
"65","bos",34899,29,10,34.5,99,30,6,20,1,-1,4,14.5,0.303030303030303,0.209302325581395,0.0937279774489077
"66","bos",34910,33,12,36.4,99,31,12,38.7,0,2,0,-2.3,0.363636363636364,0.302521008403361,0.0611153552330023
