"","team","game.id","three_pt_Attempts","three_pt_Made","three_pt_Percentage","total_pts.points"
"169","nyk","34013",21,9,42.9,117
"170","nyk","34027",20,8,40,109
"171","nyk","34046",30,10,33.3,110
"172","nyk","34065",23,6,26.1,87
"173","nyk","34071",23,7,30.4,107
"174","nyk","34086",25,9,36,93
"175","nyk","34102",25,9,36,105
"176","nyk","34109",29,12,41.4,112
"177","nyk","34133",27,10,37,104
"178","nyk","34148",29,9,31,107
"179","nyk","34168",28,11,39.3,113
"180","nyk","34181",32,12,37.5,102
"181","nyk","34195",19,6,31.6,103
"182","nyk","34211",32,13,40.6,106
"183","nyk","34225",31,12,38.7,118
"184","nyk","34242",29,11,37.9,106
"185","nyk","34256",25,7,28,114
"186","nyk","34267",31,11,35.5,94
"187","nyk","34285",29,10,34.5,103
"188","nyk","34300",22,10,45.4,118
"189","nyk","34312",20,7,35,111
"190","nyk","34328",21,5,23.8,90
"191","nyk","34344",23,8,34.8,114
"192","nyk","34361",23,13,56.5,118
"193","nyk","34378",20,9,45,106
"194","nyk","34396",23,8,34.8,114
"195","nyk","34418",27,7,25.9,98
"196","nyk","34435",23,7,30.4,92
"197","nyk","34445",32,10,31.2,122
"198","nyk","34456",21,8,38.1,103
"199","nyk","34471",28,13,46.4,104
"200","nyk","34488",23,13,56.5,116
"201","nyk","34492",31,12,38.7,109
"202","nyk","34508",29,11,37.9,96
"203","nyk","34520",22,4,18.2,97
"204","nyk","34528",23,7,30.4,104
"205","nyk","34546",29,12,41.4,101
"206","nyk","34553",26,8,30.8,107
"207","nyk","34570",25,10,40,117
"208","nyk","34578",24,7,29.2,110
"209","nyk","34594",21,11,52.4,105
"210","nyk","34612",22,8,36.4,109
"211","nyk","34628",23,7,30.4,95
"212","nyk","34639",27,9,33.3,110
"213","nyk","34651",51,18,35.3,139
"214","nyk","34664",24,5,20.8,101
"215","nyk","34673",27,6,22.2,95
"216","nyk","34699",31,12,38.7,104
"217","nyk","34708",21,7,33.3,107
"218","nyk","34731",27,8,29.6,115
"219","nyk","34740",38,16,42.1,123
"220","nyk","34757",14,9,64.3,94
"221","nyk","34785",21,11,52.4,105
"222","nyk","34793",26,8,30.8,104
"223","nyk","34808",21,6,28.6,110
"224","nyk","34822",24,9,37.5,91
"225","nyk","34835",29,8,27.6,101
"226","nyk","34849",21,7,33.3,102
"227","nyk","34868",22,7,31.8,105
"228","nyk","34875",14,6,42.9,113
"229","nyk","34892",20,7,35,93
"230","nyk","34915",30,13,43.3,92
"231","nyk","34926",23,8,34.8,112
"232","nyk","34941",28,9,32.1,87
"233","nyk","34956",16,3,18.8,110
"234","nyk","34990",24,6,25,105
"235","nyk","35006",21,9,42.9,101
"236","nyk","35011",22,5,22.7,95
"237","nyk","35025",10,3,30,98
"238","nyk","35038",21,7,33.3,109
"239","nyk","35055",25,5,20,88
"240","nyk","35073",16,6,37.5,98
"241","nyk","35082",25,7,28,94
"242","nyk","35100",23,6,26.1,100
"243","nyk","35116",20,7,35,103
"244","nyk","35121",28,6,21.4,88
"245","nyk","35136",28,9,32.1,97
"246","nyk","35160",22,9,40.9,114
"247","phi","33951",24,7,29.2,97
"248","phi","33966",18,5,27.8,72
"249","phi","33986",20,9,45,101
"250","phi","33996",38,12,31.6,93
"251","phi","34020",38,14,36.8,101
"252","phi","34033",21,7,33.3,84
"253","phi","34050",36,14,38.9,115
"254","phi","34061",32,11,34.4,109
"255","phi","34072",29,11,37.9,96
"256","phi","34089",22,5,22.7,88
"257","phi","34098",28,10,35.7,109
"258","phi","34112",32,9,28.1,86
"259","phi","34129",35,17,48.6,120
"260","phi","34139",26,11,42.3,101
"261","phi","34152",36,12,33.3,99
"262","phi","34169",22,9,40.9,89
"263","phi","34185",34,15,44.1,108
"264","phi","34194",34,14,41.2,95
"265","phi","34222",32,9,28.1,88
"266","phi","34234",33,15,45.4,106
"267","phi","34244",31,11,35.5,98
"268","phi","34258",41,14,34.2,91
"269","phi","34274",40,12,30,99
"270","phi","34296",17,7,41.2,97
"271","phi","34314",29,9,31,114
"272","phi","34336",31,6,19.4,89
"273","phi","34348",28,12,42.9,108
"274","phi","34358",33,11,33.3,93
"275","phi","34393",31,13,41.9,116
"276","phi","34411",25,9,36,100
"277","phi","34429",24,6,25,83
"278","phi","34440",33,16,48.5,124
"279","phi","34461",32,7,21.9,93
"280","phi","34486",28,9,32.1,106
"281","phi","34500",27,8,29.6,105
"282","phi","34520",28,7,25,98
"283","phi","34532",38,14,36.8,102
"284","phi","34544",31,10,32.3,93
"285","phi","34555",37,14,37.8,113
"286","phi","34567",24,8,33.3,94
"287","phi","34581",29,12,41.4,93
"288","phi","34593",29,12,41.4,93
"289","phi","34615",29,10,34.5,121
"290","phi","34624",26,12,46.2,114
"291","phi","34634",25,10,40,118
"292","phi","34656",28,10,35.7,108
"293","phi","34676",22,6,27.3,95
"294","phi","34684",25,9,36,86
"295","phi","34698",23,6,26.1,102
"296","phi","34713",28,5,17.9,96
"297","phi","34722",34,13,38.2,103
"298","phi","34735",28,11,39.3,112
"299","phi","34750",25,9,36,117
"300","phi","34761",33,12,36.4,105
"301","phi","34776",31,8,25.8,108
"302","phi","34796",29,10,34.5,120
"303","phi","34808",31,7,22.6,109
"304","phi","34823",34,10,29.4,108
"305","phi","34838",17,6,35.3,98
"306","phi","34849",28,9,32.1,105
"307","phi","34859",34,14,41.2,106
"308","phi","34874",30,8,26.7,98
"309","phi","34904",29,11,37.9,108
"310","phi","34914",30,10,33.3,100
"311","phi","34930",24,10,41.7,118
"312","phi","34943",27,8,29.6,104
"313","phi","34960",29,12,41.4,116
"314","phi","34977",33,12,36.4,105
"315","phi","34985",34,9,26.5,109
"316","phi","35002",25,8,32,97
"317","phi","35017",25,8,32,117
"318","phi","35032",41,14,34.2,94
"319","phi","35045",33,10,30.3,106
"320","phi","35051",39,11,28.2,92
"321","phi","35068",33,11,33.3,105
"322","phi","35088",36,11,30.6,105
"323","phi","35094",38,12,31.6,118
"324","phi","35113",33,7,21.2,90
"325","phi","35131",31,8,25.8,82
"326","phi","35143",33,13,39.4,111
"327","phi","35160",23,7,30.4,113
"328","phi","40227",31,11,35.5,122
"329","tor","33947",18,3,16.7,109
"330","tor","33958",16,4,25,91
"331","tor","33982",16,4,25,105
